iter	Passed	Remaining
412	3372	4793
413	3379	4783
414	3387	4774
415	3394	4765
416	3402	4756
417	3409	4746
418	3417	4738
419	3424	4729
420	3431	4719
421	3439	4710
422	3446	4701
423	3453	4691
424	3460	4681
425	3466	4671
426	3473	4661
427	3480	4651
428	3487	4641
429	3495	4632
430	3502	4623
431	3509	4613
432	3517	4605
433	3523	4595
434	3530	4585
435	3537	4575
436	3544	4566
437	3551	4556
438	3558	4546
439	3564	4537
440	3571	4527
441	3578	4517
442	3585	4507
443	3592	4498
444	3598	4488
445	3605	4478
446	3612	4469
447	3618	4458
448	3626	4450
449	3633	4440
450	3640	4431
451	3648	4423
452	3657	4415
453	3664	4406
454	3672	4398
455	3679	4389
456	3685	4379
457	3693	4370
458	3699	4360
459	3707	4352
460	3715	4344
461	3724	4337
462	3733	4329
463	3742	4322
464	3749	4313
465	3757	4305
466	3763	4295
467	3771	4286
468	3777	4277
469	3784	4267
470	3791	4258
471	3798	4249
472	3806	4241
473	3813	4231
474	3820	4222
475	3828	4214
476	3835	4205
477	3843	4197
478	3850	4188
479	3859	4181
480	3867	4172
481	3876	4165
482	3883	4157
483	3892	4149
484	3899	4140
485	3907	4132
486	3914	4123
487	3922	4115
488	3929	4106
489	3936	4097
490	3943	4088
491	3950	4079
492	3957	4069
493	3963	4060
494	3970	4050
495	3977	4041
496	3984	4032
497	3990	4022
498	3997	4013
499	4004	4004
500	4010	3994
501	4018	3986
502	4025	3977
503	4033	3969
504	4044	3964
505	4053	3956
506	4060	3948
507	4069	3941
508	4075	3931
509	4084	3924
510	4091	3915
511	4100	3908
512	4109	3900
513	4118	3894
514	4126	3886
515	4136	3879
516	4144	3871
517	4153	3865
518	4161	3856
519	4168	3848
520	4175	3839
521	4183	3830
522	4190	3821
523	4197	3812
524	4203	3803
525	4210	3794
526	4217	3785
527	4223	3775
528	4231	3767
529	4237	3758
530	4245	3749
531	4252	3740
532	4259	3732
533	4266	3723
534	4273	3714
535	4281	3706
536	4288	3697
537	4298	3691
538	4308	3684
539	4318	3678
540	4328	3672
541	4339	3667
542	4350	3661
543	4360	3655
544	4369	3647
545	4381	3642
546	4390	3635
547	4398	3628
548	4407	3621
549	4416	3613
550	4423	3604
551	4432	3597
552	4443	3591
553	4451	3583
554	4460	3576
555	4468	3568
556	4478	3561
557	4488	3555
558	4498	3548
559	4509	3543
560	4519	3536
561	4529	3529
562	4536	3521
563	4544	3512
