2024,2023,2010,State,1900,1990,2000,2003,2024_per,2023_per,2010_per,1990_per,2000_per,2003_per
6196525,6180253,5788784,MD,1188044,4781468,5296486,5508909,1.8449100742681908,1.849069048152553,1.8750806895401553,1.92721108585829,1.885878186004495,1.8980111838978135
5931367,5910955,5690538,WI,2069042,4891769,5363675,5472299,1.7659637833272512,1.7684978164360865,1.8432572223966996,1.9716688360683208,1.909801645717115,1.885397762720862
5914181,5877610,5047539,CO,539700,3294394,4301261,4550688,1.760846943721767,1.7585213304555536,1.6349794548562921,1.3278333428112528,1.5315162340109802,1.567870647060892
5761530,5737915,5310934,MN,1751394,4375099,4919479,5059375,1.7153977011628951,1.7167260025488047,1.7202973520556744,1.7634206261607352,1.751640263489266,1.7431310507276483
5464155,5373555,4635846,SC,1340316,3486703,4012012,4147152,1.6268593456595277,1.607713184079259,1.5016254388282533,1.4053451104755605,1.4285256135460882,1.4288384283211402
5143033,5108468,4785514,AL,1828697,4040587,4447100,4500752,1.5312507242355604,1.5284018408757336,1.5501053227973383,1.6285927375807787,1.5834439817230879,1.5506659543569246
4559475,4573749,4544635,LA,1381625,4219973,4468976,4496334,1.3575062411390189,1.3684193365415123,1.4720807218767058,1.7008957808820775,1.5912331972892262,1.5491437993511947
4540745,4526154,4348464,KY,2147174,3685296,4041769,4117827,1.3519297017575036,1.354179395013743,1.4085377646774422,1.4853896974463099,1.4391209549065553,1.4187349435898071
4227337,4233358,3837614,OR,413536,2842321,3421399,3559596,1.2586177928155977,1.2665777998973498,1.2430651938833706,1.145621499666592,1.2182306796841518,1.226404904883693
4088377,4053824,3760014,OK,790391,3145585,3450654,3511532,1.2172448129728135,1.2128630470399797,1.217929299797788,1.2678546177679217,1.2286472778459445,1.2098451814352091
3625646,3617176,3579173,CT,908420,3287116,3405565,3483372,1.0794745169478326,1.082222391756496,1.1593519773450705,1.3248998834044603,1.2125927916207837,1.2001430798142598
3454232,3417734,2775413,UT,276749,1722850,2233169,2351467,1.028438909817932,1.0225513671072395,0.8990011238627509,0.6944092524034365,0.7951469526704068,0.8101623505791509
3214315,3207004,3050819,IA,2231853,2776755,2926324,2944062,0.9570076979228453,0.9595030872848458,0.9882095780706633,1.1191945692645933,1.041953211389857,1.0143319851695798
