2024,per_2024,2023,2010,State,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2003,per_2023,per_2010,per_1900,per_1910,per_1920,per_1930,per_1940,per_1950,per_1960,per_1970,per_1980,per_1990,per_2000,per_2003
5143033,1.53,5108468,4785514,AL,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4500752,0.015284018408757337,0.015501053227973382,0.02408289100521575,0.02326608121465686,0.02223987305042131,0.021564044486382373,0.021543187522196517,0.020340614981223543,0.01829499489466293,0.01701196771144912,0.017236649879380703,0.016285927375807786,0.01583443981723088,0.015506659543569246
4559475,1.36,4573749,4544635,LA,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4496334,0.013684193365415123,0.014720807218767057,0.018195209094279265,0.018024313129028083,0.017033921608892773,0.01712569832618477,0.017976071721414418,0.017827873127154396,0.018240570373462488,0.017985717902454137,0.018617799414797576,0.017008957808820776,0.01591233197289226,0.015491437993511947
4540745,1.35,4526154,4348464,KY,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4117827,0.01354179395013743,0.014085377646774422,0.028277050496191072,0.02491805347281377,0.022888229070690526,0.021306058052611092,0.021639505831257653,0.019563746872417763,0.017014836965656754,0.015898344749641077,0.01620476280660606,0.014853896974463099,0.014391209549065554,0.014187349435898071
4227337,1.26,4233358,3837614,OR,413536,672765,783389,953786,1089684,1521341,1768687,2091385,2633105,2842321,3421399,3559596,0.012665777998973497,0.012430651938833706,0.005446032018827012,0.0073208252065642705,0.007419583007518395,0.007772319047379043,0.00828647720598243,0.01010699184619663,0.009905324462692683,0.010330101517264424,0.01165567910033538,0.011456214996665921,0.012182306796841517,0.01226404904883693
4088377,1.22,4053824,3760014,OK,790391,1657155,2028283,2396040,2336434,2233351,2328284,2559229,3025290,3145585,3450654,3511532,0.012128630470399797,0.012179292997977879,0.01040899629873264,0.018032659390996877,0.019210142191476307,0.019525121285363888,0.01776735923835016,0.014837212923792293,0.013039281942647835,0.012640951032893089,0.013391721722245646,0.012678546177679217,0.012286472778459444,0.01209845181435209
3625646,1.08,3617176,3579173,CT,908420,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3483372,0.010822223917564959,0.011593519773450705,0.011963370556717758,0.012130437558387788,0.013076142640824838,0.013094512599462066,0.012997891932438964,0.013335315746458928,0.014198281187598609,0.014974699417278123,0.013755968195686773,0.013248998834044604,0.012125927916207837,0.012001430798142598
3454232,1.03,3417734,2775413,UT,276749,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2351467,0.010225513671072394,0.00899001123862751,0.0036446256557551384,0.004062692636650208,0.004256290202245292,0.004138400973860284,0.004184819884686011,0.004576437903898405,0.00498785223741374,0.005232129724798274,0.0064674133487713946,0.006944092524034365,0.007951469526704068,0.008101623505791508
3214315,0.96,3207004,3050819,IA,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,2944062,0.009595030872848458,0.009882095780706633,0.02939222437542348,0.024209284989012803,0.02276880752897651,0.02013546671330018,0.019302201303015014,0.017413034578892005,0.01544326311149468,0.013950607278394568,0.01289823649569236,0.011191945692645932,0.01041953211389857,0.010143319851695797
3210931,0.96,3194176,2702483,NV,42335,81875,77407,91058,110247,160083,285278,488738,800493,1201833,1998257,2241154,0.009556650797227442,0.008753779182485558,0.0005575276771962817,0.000890938981349282,0.0007331321500084586,0.0007420237116252921,0.0008383708052315579,0.0010635075079911047,0.001597666038178628,0.0024140524845233085,0.0035434551717705024,0.004844089474091066,0.007115036811823508,0.0077215567671154485
3089060,0.92,3067732,2921998,AR,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2725714,0.009178343166901302,0.009464823743077916,0.017272545893805693,0.017132677719039948,0.016595360700885207,0.015112012308444013,0.014824069125671729,0.012685789778374982,0.010003807196311719,0.0094998446472778,0.010121112771338524,0.009474795773608082,0.009518965484784472,0.009391034878424829
2944376,0.88,2940546,2858266,KS,1470495,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2723507,0.00879781554779197,0.009258385495415241,0.019365576040598707,0.01840039547570793,0.016756871966715096,0.015328097032039611,0.013695876482848353,0.012657807459055263,0.012201055830110906,0.011096655473025232,0.01046304037256457,0.00998607138818929,0.009572438898284321,0.009383430994093353
